DateTime,Weather,Precipitation,Temperature,ApparentTemperature,PrecipitationType
1/21/2015 8:00,Partly Cloudy,0,38.66,38.66,none
1/21/2015 9:00,Clear,0,40.69,40.69,none
1/21/2015 10:00,Clear,0,43.69,43.69,none
1/21/2015 11:00,Clear,0,46.17,46.17,none
1/21/2015 12:00,Partly Cloudy,0,48.53,48.53,none
1/21/2015 13:00,Clear,0,51.28,51.28,none
1/21/2015 14:00,Clear,0,52.74,52.74,none
1/21/2015 15:00,Clear,0,54.19,54.19,none
1/21/2015 16:00,Clear,0,54.6,54.6,none
1/21/2015 17:00,Clear,0,52.45,52.45,none
1/21/2015 18:00,Clear,0,48.09,48.09,none
1/21/2015 19:00,Clear,0,44.66,44.66,none
1/21/2015 20:00,Clear,0,42.35,42.35,none
1/21/2015 21:00,Clear,0,40.19,40.19,none
1/21/2015 22:00,Clear,0,38.8,38.8,none
1/21/2015 23:00,Clear,0,36.98,36.98,none
1/22/2015 0:00,Clear,0,35.84,35.84,none
1/22/2015 1:00,Clear,0,34.42,34.42,none
1/22/2015 2:00,Clear,0,33.07,33.07,none
1/22/2015 3:00,Clear,0,31.98,31.98,none
1/22/2015 4:00,Clear,0,30.98,30.98,none
1/22/2015 5:00,Clear,0,30.37,30.37,none
1/22/2015 6:00,Clear,0,30.09,30.09,none
1/22/2015 7:00,Clear,0,30.38,30.38,none
1/22/2015 8:00,Clear,0,31.3,31.3,none
1/22/2015 9:00,Clear,0,34.31,34.31,none
1/22/2015 10:00,Clear,0,40.95,40.95,none
1/22/2015 11:00,Clear,0,47.2,47.2,none
1/22/2015 12:00,Clear,0,53.21,53.21,none
1/22/2015 13:00,Clear,0,55.78,55.78,none
1/22/2015 14:00,Clear,0,56.67,56.67,none
1/22/2015 15:00,Clear,0,57.06,57.06,none
1/22/2015 16:00,Clear,0,56.54,56.54,none
1/22/2015 17:00,Partly Cloudy,0,53.61,53.61,none
1/22/2015 18:00,Partly Cloudy,0,49.66,49.66,none
1/22/2015 19:00,Clear,0,45.79,45.79,none
1/22/2015 20:00,Clear,0,43.6,43.6,none
1/22/2015 21:00,Clear,0,41.94,41.94,none
